SBD,Toan,Van,Anh,Ly,Hoa,Sinh
52000071,7.80,6.75,4.60,5.75,7.75,5.25
52000072,7.60,6.50,6.20,None,None,None
52000073,5.20,5.50,5.20,4.25,3.75,3.25
52000074,8.20,None,None,None,8.50,8.25
52000075,3.20,5.50,None,None,None,None
52000076,6.80,6.25,7.40,5.00,6.75,4.50
52000077,5.80,6.00,4.60,5.75,5.00,3.75
52000078,7.40,6.50,5.00,7.50,7.00,4.50
52000079,7.40,7.75,6.40,None,None,None
52000080,7.20,7.75,5.40,6.25,4.75,2.75
52000081,6.80,7.25,4.60,None,None,None
52000082,6.60,6.75,4.00,5.75,6.50,4.75
52000083,7.60,5.75,4.80,4.75,7.00,3.75
52000084,7.40,7.75,5.00,6.75,6.25,5.25
52000085,6.80,5.75,5.00,None,None,None
52000086,9.40,5.25,8.60,5.50,3.75,4.50
52000087,8.20,6.25,5.20,7.25,7.25,4.75
52000088,5.60,5.00,None,None,None,None
52000089,4.60,3.50,None,None,None,None
52000090,6.20,5.50,3.20,None,None,None
52000091,8.00,6.00,5.40,6.25,8.00,4.25
52000092,6.00,7.25,8.60,None,None,None
52000093,7.60,5.75,5.00,None,None,None
52000094,8.20,7.50,6.20,None,None,None
52000095,5.60,7.00,4.40,None,None,None
52000096,7.60,6.50,5.40,6.25,5.25,4.75
52000097,7.00,5.75,None,None,None,None
52000098,6.60,5.75,4.60,None,None,None
52000099,7.40,6.00,6.60,7.50,4.25,4.50
52000100,7.60,7.00,6.40,7.75,6.75,3.50
52000101,8.60,None,8.20,8.75,None,None
52000102,8.20,6.50,4.80,7.00,6.75,5.25
52000103,8.20,6.50,7.80,7.50,7.00,4.75
52000104,3.40,4.50,None,None,None,None
52000105,6.60,6.75,6.60,None,None,None
52000106,7.40,7.00,7.40,7.25,6.00,4.50
52000107,4.40,6.50,6.00,5.50,1.75,3.75
52000108,5.00,6.75,4.40,None,None,None
52000109,7.80,6.50,4.20,6.25,5.75,5.75
52000110,7.80,6.00,5.00,6.75,7.00,3.75
52000111,None,2.75,None,None,None,None
52000112,8.40,8.00,8.00,None,None,None
52000113,7.60,5.50,5.20,7.25,8.00,4.25
52000114,6.80,6.50,4.80,None,None,None
52000115,8.40,7.00,5.20,8.50,8.50,4.00
52000116,8.60,None,9.20,None,None,None
52000117,8.20,None,8.20,7.75,3.00,5.00
52000118,7.80,8.00,9.20,None,None,None
52000119,7.60,6.25,4.80,None,None,None
52000120,7.80,6.25,5.80,6.75,8.50,5.75
52000121,7.20,6.50,8.60,6.25,6.00,4.00
52000122,6.60,6.50,6.40,None,None,None
52000123,5.40,5.00,None,None,None,None
